pk,pk,goodness
1018633,1018455,1
1018695,1018455,1
1018732,1018455,1
1018810,1018455,1
1018570,1018488,1
1018691,1018501,1
1018560,1018511,1
1018636,1018511,1
1018644,1018511,1
1018682,1018511,1
1018511,1018560,1
1018636,1018560,1
1018644,1018560,1
1018682,1018560,1
1018488,1018570,1
1018665,1018570,1
1018455,1018633,1
1018695,1018633,1
1018732,1018633,1
1018810,1018633,1
1018511,1018636,1
1018560,1018636,1
1018644,1018636,1
1018682,1018636,1
1018511,1018644,1
1018560,1018644,1
1018636,1018644,1
1018682,1018644,1
1018570,1018665,1
1018511,1018682,1
1018560,1018682,1
1018636,1018682,1
1018644,1018682,1
1018822,1018688,1
1018501,1018691,1
1018455,1018695,1
1018633,1018695,1
1018732,1018695,1
1018810,1018695,1
1018455,1018732,1
1018633,1018732,1
1018695,1018732,1
1018810,1018732,1
1018455,1018810,1
1018633,1018810,1
1018695,1018810,1
1018732,1018810,1
1018688,1018822,1
