pk,pk,strength
1019581,1018488,2861
1019593,1018488,1218
1019648,1018488,2861
1019833,1018488,2861
1020029,1018488,2861
1020428,1018488,334
1020428,1018488,1550
1047265,1018488,2861
1062815,1018488,2861
1088433,1018488,2861
1113636,1018488,426
1134140,1018488,2861
1142018,1018488,2861
1019205,1018494,6087
1020013,1018494,12205
1059965,1018494,12754
1020027,1018501,8491
1019205,1018511,6087
1019580,1018511,8006
1019602,1018511,2678
1019602,1018511,3165
1020477,1018511,3165
1067955,1018511,2678
1067955,1018511,3165
1087976,1018511,12601
1139836,1018511,10258
1020385,1018539,1400
1020385,1018539,12966
1020419,1018539,548
1020419,1018539,12966
1020446,1018539,456
1020446,1018539,12966
1018822,1018688,9162
1019395,1018688,6240
1020356,1018688,10897
1021266,1018688,6240
1018732,1018695,151
1018732,1018695,2741
1018980,1018695,151
1018980,1018695,2741
1019120,1018695,151
1019120,1018695,2741
1019183,1018695,151
1019183,1018695,2741
1019334,1018695,151
1019334,1018695,2741
1019541,1018695,151
1019541,1018695,2741
1020215,1018695,151
1020215,1018695,2741
1042098,1018695,151
1042098,1018695,2741
1047817,1018695,151
1047817,1018695,2741
1064235,1018695,151
1064235,1018695,2253
1097986,1018695,151
1097986,1018695,2741
1113636,1018695,151
1113636,1018695,2284
1134091,1018695,151
1138092,1018695,151
1138092,1018695,2741
1155255,1018695,151
1018695,1018732,151
1018695,1018732,2741
1018977,1018732,2161
1018977,1018732,2741
1018980,1018732,151
1018980,1018732,2161
1018980,1018732,2741
1019016,1018732,2161
1019016,1018732,2741
1019120,1018732,151
1019120,1018732,2161
1019120,1018732,2741
1019183,1018732,151
1019183,1018732,2161
1019183,1018732,2741
1019334,1018732,151
1019334,1018732,2741
1019541,1018732,151
1019541,1018732,2161
1019541,1018732,2741
1019847,1018732,2253
1020215,1018732,151
1020215,1018732,2161
1020215,1018732,2741
1038768,1018732,2161
1038768,1018732,2741
1042028,1018732,2161
1042028,1018732,2892
1042098,1018732,151
1042098,1018732,2741
1047817,1018732,151
1047817,1018732,2161
1047817,1018732,2741
1064235,1018732,151
1064235,1018732,2741
1097986,1018732,151
1097986,1018732,2161
1097986,1018732,2741
1112521,1018732,2161
1112521,1018732,2741
1113636,1018732,151
1113636,1018732,2741
1134091,1018732,151
1138092,1018732,151
1138092,1018732,2161
1138092,1018732,2741
1155255,1018732,151
1024573,1018794,10683
1018688,1018822,9162
1019395,1018822,9162
1020356,1018822,10897
1021266,1018822,9162
1020167,1018860,3165
1020167,1018860,3592
1059028,1018860,3712
1035537,1018927,2769
1018977,1018973,486
1018980,1018973,486
1019016,1018973,486
1019079,1018973,2922
1019120,1018973,486
1020383,1018973,578
1020383,1018973,10196
1042028,1018973,486
1050956,1018973,456
1088477,1018973,2922
1097986,1018973,486
1112521,1018973,486
1138092,1018973,486
1018732,1018977,2161
1018732,1018977,2741
1018973,1018977,486
1018980,1018977,486
1018980,1018977,2741
1018980,1018977,9618
1019016,1018977,486
1019016,1018977,1706
1019016,1018977,6908
1019120,1018977,486
1019120,1018977,2741
1019120,1018977,6908
1019183,1018977,486
1019183,1018977,2741
1019334,1018977,2741
1019541,1018977,486
1019541,1018977,2741
1020215,1018977,2161
1020215,1018977,2741
1020383,1018977,578
1038768,1018977,1706
1038768,1018977,2161
1042028,1018977,486
1042028,1018977,2892
1042028,1018977,6908
1042098,1018977,2741
1047817,1018977,486
1047817,1018977,2741
1050956,1018977,486
1097986,1018977,486
1097986,1018977,2741
1097986,1018977,6908
1112521,1018977,486
1112521,1018977,1706
1112521,1018977,9100
1138092,1018977,486
1138092,1018977,2741
1138092,1018977,6908
1018695,1018980,151
1018695,1018980,2741
1018732,1018980,151
1018732,1018980,2161
1018732,1018980,2741
1018973,1018980,486
1018977,1018980,486
1018977,1018980,2741
1018977,1018980,9618
1019016,1018980,486
1019016,1018980,2741
1019016,1018980,9618
1019120,1018980,151
1019120,1018980,486
1019120,1018980,2741
1019120,1018980,9618
1019183,1018980,151
1019183,1018980,486
1019183,1018980,2741
1019334,1018980,151
1019334,1018980,2741
1019541,1018980,151
1019541,1018980,486
1019541,1018980,2741
1020215,1018980,151
1020215,1018980,2161
1020215,1018980,2741
1020383,1018980,578
1038768,1018980,2161
1038768,1018980,2741
1042028,1018980,486
1042028,1018980,2892
1042028,1018980,9618
1042098,1018980,151
1042098,1018980,2741
1047817,1018980,151
1047817,1018980,486
1047817,1018980,2741
1050956,1018980,486
1064235,1018980,151
1064235,1018980,2741
1097986,1018980,151
1097986,1018980,486
1097986,1018980,2741
1097986,1018980,9618
1112521,1018980,486
1112521,1018980,2741
1112521,1018980,9618
1113636,1018980,151
1113636,1018980,2741
1134091,1018980,151
1138092,1018980,151
1138092,1018980,486
1138092,1018980,2741
1138092,1018980,9618
1155255,1018980,151
1018732,1019016,2161
1018732,1019016,2741
1018973,1019016,486
1018977,1019016,486
1018977,1019016,1706
1018977,1019016,6908
1018980,1019016,486
1018980,1019016,2741
1018980,1019016,9618
1019120,1019016,486
1019120,1019016,2741
1019120,1019016,6543
1019183,1019016,486
1019183,1019016,2741
1019334,1019016,2741
1019541,1019016,486
1019541,1019016,2741
1020215,1019016,2161
1020215,1019016,2741
1020383,1019016,578
1038768,1019016,1280
1038768,1019016,2161
1042028,1019016,486
1042028,1019016,2892
1042028,1019016,4962
1042098,1019016,2741
1047817,1019016,486
1047817,1019016,2741
1050956,1019016,486
1097986,1019016,486
1097986,1019016,2741
1097986,1019016,6515
